catalog_id,main_id,ra,dec,pmra,pmdec,plx_value,plx_err,otype,sp_type,rvz_radvel,rvz_err,v_mag,common_name
HD 124897,* alf Boo,213.915300294925,19.1824091615312,-1093.39,-2000.06,88.83,0.54,RG*,K1.5IIIFe-0.5,-5.229,0.0002,-0.05,NAME Arcturus
HD 172167,* alf Lyr,279.234734787025,38.783688956244,200.94,286.23,130.23,0.36,dS*,A0V,-13.5,0.4,0.03,NAME Vega
HD   5394,* gam Cas,14.17721289375,60.71674002472222,25.17,-3.92,5.94,0.12,HXB,B0.5IVpe,-6.8,0.9,2.39,
HD 169467,* alf Tel,276.74340176679584,-45.968457754716674,-17.31,-53.512,11.6696,0.4046,PM*,B3IV,-0.2,2.0,3.463,
HD 158427,* alf Ara,262.9603813675,-49.87614501138889,-33.27,-67.22,12.2,0.85,Be*,B2Vne,0.0,,2.95,
HD 136298,* del Lup,230.34297427253,-40.64753036915,-9.163,-17.377,6.7296,0.4819,bC*,B1.5IV,-2.4,2.8,3.19,
HD 157246,* gam Ara,261.3485804629167,-56.37772632638889,-0.44,-15.77,2.93,0.16,Be*,B1Ib,-3.0,2.9,3.34,
HD 152786,* zet Ara,254.65505223357655,-55.9901388628425,-17.518,-36.12,5.7725,0.1727,*,K3III,-6.0,0.6,3.076,
HD 134505,* zet Lup,228.07123134275705,-52.099248703500834,-112.9,-72.278,28.7616,0.1881,PM*,G8III,-10.0,0.6,3.41,
HD 129056,* alf Lup,220.4823157775,-47.38819874611111,-20.94,-23.67,7.02,0.17,bC*,B1.5III,5.4,0.7,2.286,
HD 120307,* nu. Cen,207.37615211559708,-41.68770852979139,-26.137,-21.226,8.0476,0.347,bC*,B2V,9.0,0.9,3.386,
HD 111123,* bet Cru,191.9302865619529,-59.68877199622606,-42.97,-16.18,11.71,0.98,bC*,B1IV,10.3,0.2,1.25,NAME Mimosa
HD 109668,* alf Mus,189.29590786916668,-69.1355647886111,-40.2,-12.8,10.34,0.11,**,B2IV,13.0,4.0,2.649,
HD 108903,* gam Cru,187.79149837560797,-57.11321345705891,28.23,-265.08,36.83,0.18,PM*,M3.5III,21.0,0.1,1.64,NAME Gacrux
HD 106490,* del Cru,183.78632699611495,-58.748924076838335,-36.951,-11.296,7.1681,0.7145,Pu*,B2IV,22.2,2.0,2.752,NAME Imai
HD 100841,* lam Cen,173.94532537821,-63.01983499360999,-33.863,-7.236,8.277,0.2537,*,B9III,-3.107,0.225,3.14,
HD  89080,* ome Car,153.43425247860876,-70.0379064474,-36.548,7.125,8.2978,0.2439,Be*,B7III,10.4,2.5,3.33,
HD  89388,* q Car,154.27073140194167,-61.33230464139612,-25.587,5.812,4.3046,0.1345,LP*,K2.5II,8.2,0.6,3.35,
HD   6595,* bet Phe,16.520997989851963,-46.71841069311463,-80.81,34.97,0.12,14.62,**,G8III,-1.1,0.74,3.3,
HD  93497A,* mu. Vel,161.69239624144333,-49.420259938983605,68.537,-48.819,29.0506,0.2991,PM*,G6III,6.2,0.2,2.69,
HD  93497,* mu. Vel,161.69239624144333,-49.420259938983605,68.537,-48.819,29.0506,0.2991,PM*,G6III,6.2,0.2,2.69,
HD  27256,* alf Ret,63.60612501835416,-62.47380348899389,45.069,42.948,20.3431,0.1859,PM*,G8IIIa:,35.5,0.06,3.36,
HD 135722,* del Boo,228.87567841690495,33.31483124216833,84.383,-111.591,27.0746,0.1256,PM*,G8IIIFe-1,-12.29,0.16,3.49,
HD 156283,* pi. Her,258.76180935986537,36.80916154895945,-27.402,2.925,8.8991,0.1323,*,K3II,-25.57,0.2,3.18,
HD 139006,* alf CrB,233.6719520340316,26.71468500002472,118.927,-87.711,42.2408,0.977,SB*,A1IV,1.7,0.9,2.24,NAME Alphecca
HD 150680,* zet Her,250.32150433146228,31.602718703799265,-461.52,342.28,93.32,0.47,SB*,G0IV,-67.8,0.2,2.8,
HD 159561,* alf Oph,263.73362272030505,12.560037391671424,108.07,-221.57,67.13,1.06,**,A5IVnn,11.7,1.0,2.07,NAME Rasalhague
HD 144217,* bet01 Sco,241.3592999275,-19.805452782777778,-5.2,-24.04,8.07,0.78,bC*,B1V,-1.0,0.9,2.62,
HD 175191,* sig Sgr,283.81636040649323,-26.29672411476388,15.14,-53.43,14.32,0.29,**,B2.5V,-11.2,2.0,2.067,NAME Nunki
HD 173300,* phi Sgr,281.41412309412124,-26.99078264511139,49.919,-0.09,12.1552,0.5888,PM*,B8III,21.5,2.0,3.14,
HD 167618,* eta Sgr,274.40682166227543,-36.76169016455027,-131.804,-166.309,23.8859,0.4865,LP?,M2III,0.2,0.8,3.11,
HD 160578,* kap Sco,265.62198000035505,-39.02998307638737,-6.05,-25.54,6.75,0.17,bC*,B1.5III,-14.0,2.8,2.386,
HD 155203,* eta Sco,258.0383087285559,-43.23918953095112,21.616,-287.978,44.5711,0.2362,PM*,F5IV,-27.0,2.0,3.33,
HD 123123,* pi. Hya,211.59290834800288,-26.68236157673806,43.381,-140.951,30.8889,0.2669,PM*,K2-IIIFe-0.5,27.2,0.6,3.28,
HD 113226,* eps Vir,195.5441542302233,10.959148721740554,-273.793,19.804,30.211,0.1907,PM*,G8III-IIIb,-14.29,0.02,2.79,NAME Vindemiatrix
